,sumdid,company,lat,lon,geometry,index_right,zip,objectid,po_name,shape_stlength,shape_starea
2685,Powered4UZ42,Bird,36.118471,-86.819456,POINT (-86.819456 36.118471),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2689,Powered4VG2VR4XATZYG,Lime,36.117492,-86.821103,POINT (-86.821103 36.117492),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2691,Powered4VSSF,Bird,36.123847,-86.816193,POINT (-86.816193 36.123847),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2692,Powered4VU3B,Bird,36.11723,-86.818244,POINT (-86.818244 36.11723),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2695,Powered4WE1L,Bird,36.121271,-86.815776,POINT (-86.815776 36.121271),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2697,Powered4WOKR5XFN26KV,Lime,36.119914,-86.819455,POINT (-86.819455 36.119914),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2703,Powered4YJVDSHSVFL3Z,Lime,36.119272,-86.818319,POINT (-86.818319 36.119272),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2707,Powered4ZCWH6CU24T5O,Lime,36.123206,-86.814554,POINT (-86.814554 36.123206),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2714,Powered5002512,Spin,36.11965,-86.83068,POINT (-86.83068 36.11965),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2721,Powered501866,Lyft,36.123015,-86.815624,POINT (-86.815624 36.123015),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2723,Powered501f05d4-9297-5ca3-9317-119a1fe20b46,Jump,36.1183,-86.8245,POINT (-86.8245 36.1183),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2724,Powered502227,Lyft,36.122602,-86.817591,POINT (-86.817591 36.122602),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2730,Powered504455,Lyft,36.105213,-86.817627,POINT (-86.817627 36.105213),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2731,Powered504f05dc-373e-5de9-8fd6-1c792c1702b2,Jump,36.1196,-86.8169,POINT (-86.8169 36.1196),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2732,Powered504fc971-1392-590a-8955-c47a97b8a780,Jump,36.1196,-86.8188,POINT (-86.8188 36.1196),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2733,Powered505342,Lyft,36.122203,-86.811861,POINT (-86.811861 36.122203),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
2734,Powered5063018,Spin,36.103926,-86.813282,POINT (-86.813282 36.103926),44,37215,38,NASHVILLE,158698.30754566603,424774478.15600586
